dataset_id,folder,state,tax_year,level,filing_status,primary_name,spouse_name,dependents,total_income,agi,taxable_income,total_tax,refund,amount_owed,state_tax,effective_rate,obbba_total,medicare_surtax,is_tipped,has_car_loan,is_senior
DS_0001,Dataset_0001_TX_2025_L3,TX,2025,3,single,Nicole Vargas,N/A,4,128959.04,116433.63,90010.63,13456.57,0.0,5049.57,0.0,11.56,8755.3,0.0,False,False,False
DS_0002,Dataset_0002_IL_2023_L3,IL,2023,3,single,Tina Blackwell,N/A,4,86431.73,83912.78,62931.78,6190.38,0.0,454.38,3504.0,7.38,0,0.0,False,False,False
DS_0003,Dataset_0003_TX_2020_L3,TX,2020,3,mfj,Bryan Thompson,Benjamin Thompson,1,146992.55,143224.9,107156.9,20689.82,0.0,6433.82,0.0,14.45,0,0.0,False,False,False
DS_0004,Dataset_0004_TX_2025_L3,TX,2025,3,single,Paul Ortega,N/A,1,168004.68,158420.7,134180.7,28848.65,0.0,9314.65,0.0,18.21,6584.84,0.0,True,False,False
DS_0005,Dataset_0005_IL_2024_L2,IL,2024,2,single,Stacey White,N/A,2,134207.74,131042.15,107480.15,21168.91,0.0,7056.91,6096.77,16.15,0,0.0,False,False,False
DS_0006,Dataset_0006_IL_2021_L1,IL,2021,1,single,Barbara Kelly,N/A,0,41100.0,41100.0,28550.0,3227.0,1705.0,0.0,1904.51,7.85,0,0.0,False,False,False
DS_0007,Dataset_0007_NY_2025_L1,NY,2025,1,mfj,Robert Jackson,Kim Jackson,0,29900.0,29900.0,0,0.0,2392.0,0.0,554.0,0.0,0,0.0,True,False,False
DS_0008,Dataset_0008_IL_2023_L2,IL,2023,2,mfj,Levi Nelson,Heather Nelson,2,116891.36,113322.87,75520.87,11759.48,0.0,4031.48,5089.73,10.38,0,0.0,False,False,False
DS_0009,Dataset_0009_CA_2021_L1,CA,2021,1,single,Erica Reyes,N/A,1,39200.0,39200.0,26650.0,0.0,3136.0,0.0,0,0.0,0,0.0,False,False,False
DS_0010,Dataset_0010_FL_2025_L2,FL,2025,2,single,Melinda Evans,N/A,1,147633.25,131852.93,109464.93,20195.22,0.0,446.22,0.0,15.32,14142.0,0.0,False,False,True
